id,nombre,marca,imagen,link,categoria,tienda,precio
,"Celular Samsung Galaxy A05s 6.7"" 6GB 128GB Negro",samsung,https://oechsle.vteximg.com.br/arquivos/ids/17383430,https://www.oechsle.pe/celular-samsung-galaxy-a05s-6-7--6gb-128gb-negro/p,1,18,529.00
,"Celular Samsung Galaxy A15 6.5"" 8GB 256GB Blue Black",samsung,https://oechsle.vteximg.com.br/arquivos/ids/17359520,https://www.oechsle.pe/celular-samsung-galaxy-a15-6-5--8gb-256gb-blue-black/p,1,18,769.00
,"Celular Samsung Galaxy A34 SM-A346MZKBLTP 6.6"" 6GB RAM 128GB Negro",samsung,https://oechsle.vteximg.com.br/arquivos/ids/16605708,https://www.oechsle.pe/celular-samsung-galaxy-a34-sm-a346mzkbltp-6-6-6gb-ram-128gb-negro-2501009/p,1,18,1099.00
,"Celular Xiaomi Redmi Note 12 6.67"" 4GB RAM 128GB Onyx Gray",xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/16401928,https://www.oechsle.pe/celular-xiaomi-redmi-note-12-6-67--4gb-ram-128gb-onyx-gray/p,1,18,599.00
,"Smartphone SAMSUNG Galaxy A05 6.7"" 4GB 64GB 50MP + 2MP Negro",samsung,https://oechsle.vteximg.com.br/arquivos/ids/17204461,https://www.oechsle.pe/smartphone-samsung-galaxy-a05-6-7--4gb-64gb-50mp---2mp-negro-1000749186/p,1,18,389.00
,"Smartphone MOTOROLA E13 6.5"" 2GB 64GB 13MP Verde",motorola,https://oechsle.vteximg.com.br/arquivos/ids/14860995,https://www.oechsle.pe/smartphone-motorola-e13-6-5--2gb-64gb-13mp-2mp-verde-1000546937/p,1,18,299.00
,"Celular Xiaomi Redmi 13C 6.74"" 8GB RAM 256GB Azul",xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17064010,https://www.oechsle.pe/celular-xiaomi-redmi-13c-6-74--8gb-ram-256gb-azul/p,1,18,599.00
,"Apple iPhone 11 6.1"" 64GB Blanco",apple,https://oechsle.vteximg.com.br/arquivos/ids/15616953,https://www.oechsle.pe/apple-iphone-11-6-1-64gb-blanco-2423101/p,1,18,2099.00
,"Smartphone MOTOROLA G14 6.5"" 4GB 128GB 50MP+2MP Azul",motorola,https://oechsle.vteximg.com.br/arquivos/ids/16690005,https://www.oechsle.pe/smartphone-motorola-g14-6-5--4gb-128gb-50mp-2mp-azul-1000700227/p,1,18,449.00
,Celular Xiaomi Redmi Note 13 6.67” 8GB 256GB Midnight Black,xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17427900,https://www.oechsle.pe/celular-xiaomi-redmi-note-13-6-67-8gb-256gb-midnight-black-2570752-2570752/p,1,18,929.00
,"Celular Xiaomi Poco M5s  6.43"" 8GB 256GB Gris",xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17282951,https://www.oechsle.pe/celular-xiaomi-poco-m5s--6-43--8gb-256gb-gris/p,1,18,799.00
,"Celular Honor  X6A 6.56"" 4GB RAM 128GB SKY  Sky Silver",honor,https://oechsle.vteximg.com.br/arquivos/ids/17221985,https://www.oechsle.pe/celular-honor--x6a-6-56--4gb-ram-128gb-sky--sky-silver/p,1,18,539.00
,"Celular Xiaomi Redmi 13C 6.74"" 8GB RAM 256GB Negro",xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17064028,https://www.oechsle.pe/celular-xiaomi-redmi-13c-6-74--8gb-ram-256gb-negro/p,1,18,599.00
,"Celular Xiaomi Redmi A2 6.52"" 2GB RAM 64GB Black",xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17100164,https://www.oechsle.pe/celular-xiaomi-redmi-a2-6-52-2gb-ram-64gb-black-2508012/p,1,18,329.00
,"Apple iPhone 11 6.1"" 128GB Negro",apple,https://oechsle.vteximg.com.br/arquivos/ids/15557753,https://www.oechsle.pe/apple-iphone-11-6-1-128gb-negro-2406083/p,1,18,2099.00
,"Apple iPhone 11 6.1"" 64GB Negro",apple,https://oechsle.vteximg.com.br/arquivos/ids/15557752,https://www.oechsle.pe/apple-iphone-11-6-1-64gb-negro-2406079/p,1,18,2099.00
,"Celular Xiaomi Redmi Note 12 Pro 6.67"" 8GB RAM 256GB Azul",xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/16401929,https://www.oechsle.pe/celular-xiaomi-redmi-note-12-pro-6-67--8gb-ram-256gb-azul/p,1,18,1599.00
,"Celular Xiaomi Redmi Note 12 Pro+ 6.67"" 8GB RAM 256GB Negro",xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/16401926,https://www.oechsle.pe/celular-xiaomi-redmi-note-12-pro-6-67-8gb-ram-256gb-negro-2343985/p,1,18,1599.00
,Celular Xiaomi Redmi Note 13 Pro Plus 5G 200MP 512GB 12GB - Negro,xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17383885,https://www.oechsle.pe/celular-xiaomi-redmi-note-13-pro-plus-5g-200mp-512gb-12gb-negro-1000767702/p,1,18,1889.00
,Celular Xiaomi Redmi Note 13 Pro 5G 8GB Ram 256GB Negro,xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17249667,https://www.oechsle.pe/celular-xiaomi-redmi-note-13-pro-5g-8gb-ram-256gb-negro-1000754046/p,1,18,1399.00
,Iphone 15 128GB (CHIP FISICO) + Dado 20W - BLACK,apple,https://oechsle.vteximg.com.br/arquivos/ids/17033000,https://www.oechsle.pe/iphone-15-128gb-chip-fisico-dado-20w-black-1000734468/p,1,18,3899.00
,Iphone 15 128GB (CHIP FISICO) + Dado 20W - ROSA,apple,https://oechsle.vteximg.com.br/arquivos/ids/17032997,https://www.oechsle.pe/iphone-15-128gb-chip-fisico-dado-20w-rosa-1000734466/p,1,18,3899.00
,Celular Xiaomi Redmi 13C Navy Blue 8GB RAM 256GB ROM,xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/16895505,https://www.oechsle.pe/celular-xiaomi-redmi-13c-navy-blue-8gb-ram-256gb-rom-1000720342/p,1,18,634.00
,"Smartphone MOTOROLA G54 6.5"" 8GB 128GB 50MP+2MP Azul",motorola,https://oechsle.vteximg.com.br/arquivos/ids/16690003,https://www.oechsle.pe/smartphone-motorola-g54-6-5--8gb-128gb-50mp-2mp-azul-1000700236/p,1,18,749.00
,"Smartphone ZTE BLADE A51 Lite 6.09"" 2GB 32GB 13MP+2MP Negro",zte,https://oechsle.vteximg.com.br/arquivos/ids/16690001,https://www.oechsle.pe/smartphone-zte-blade-a51-lite-6-09--2gb-32gb-13mp-2mp-negro-1000700224/p,1,18,219.00
,Samsung Galaxy A54 5G 8gb Ram 256gb Color Lila,samsung,https://oechsle.vteximg.com.br/arquivos/ids/15315283,https://www.oechsle.pe/samsung-galaxy-a54-5g-8gb-ram-256gb-color-lila-1000588442/p,1,18,1549.00
,"Smartphone XIAOMI Redmi Note 12S 6.43"" 8GB 256GB 108MP Onyx Black",xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/15179253,https://www.oechsle.pe/smartphone-xiaomi-redmi-note-12s-6-43--8gb-256gb-108mp-onyx-black-1000576854/p,1,18,849.00
,Memoria MicroSD Kingston 64 Gb - Negro,kingston,https://oechsle.vteximg.com.br/arquivos/ids/14898217,https://www.oechsle.pe/memoria-microsd-kingston-64-gb-negro-1000551095/p,1,18,25.50
,Celular Samsung Galaxy A54 5G 8gb Ram 256gb Negro,samsung,https://oechsle.vteximg.com.br/arquivos/ids/14540360,https://www.oechsle.pe/celular-samsung-galaxy-a54-5g-8gb-ram-256gb-negro-1000505137/p,1,18,1549.00
,Celular Samsung Galaxy A54 5G 256GB 8GB RAM Violeta,samsung,https://oechsle.vteximg.com.br/arquivos/ids/14411621,https://www.oechsle.pe/celular-samsung-galaxy-a54-5g-256gb-8gb-ram-violeta-1000489728/p,1,18,1478.00
,Cable Xiaomi Tipo-C a Audio Jack,xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/14031626,https://www.oechsle.pe/cable-xiaomi-tipo-c-a-audio-jack-1000458186/p,1,18,9.90
,Memoria MicroSD Kingston 128GB,kingston,https://oechsle.vteximg.com.br/arquivos/ids/4979398,https://www.oechsle.pe/memoria-microsd-kingston-128gb-1000145623/p,1,18,48.50
,"Celular Redmi Note 13 6.67"" 8GB 256GB Ice Blue",xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17405771,https://www.oechsle.pe/celular-redmi-note-13-6-67--8gb-256gb-ice-blue-2581486/p,1,18,929.00
,Celular Xiaomi Redmi Note 13 Pro+ 5G 6.67” 12GB 512GB Midnight Black,xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17427890,https://www.oechsle.pe/celular-xiaomi-redmi-note-13-pro--5g-6-67--12gb-512gb-midnight-black-2570754/p,1,18,1949.00
,Celular Xiaomi Redmi Note 13 Pro 6.67” 8GB 256GB Lavender Purple,xiaomi,https://oechsle.vteximg.com.br/arquivos/ids/17427910,https://www.oechsle.pe/celular-xiaomi-redmi-note-13-pro-6-67--8gb-256gb-lavender-purple-2570748/p,1,18,1279.00
,"Celular Honor  X8B 6.7"" 8GB RAM 256GB  Negro",honor,https://oechsle.vteximg.com.br/arquivos/ids/17221951,https://www.oechsle.pe/celular-honor--x8b-6-7--8gb-ram-256gb--negro/p,1,18,999.00
